2017-01-10 23:14:13,153 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.journaldev.log4j:log4j-example:0.0.1-SNAPSHOT @ C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\pom.xml.
2017-01-10 23:14:13,153 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.journaldev.log4j:log4j-example:0.0.1-SNAPSHOT @ C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\pom.xml.
2017-01-10 23:14:14,510 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 23:14:14,518 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\src\main\resources
2017-01-10 23:14:14,521 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 23:14:14,528 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\src\test\resources
2017-01-10 23:14:16,186 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 23:14:16,201 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\src\main\resources
2017-01-10 23:14:16,569 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 23:14:16,572 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.journaldev.log4j:log4j-example:0.0.1-SNAPSHOT @ C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\pom.xml.
2017-01-10 23:14:16,578 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\src\test\resources
2017-01-10 23:14:18,042 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 23:14:18,051 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\src\main\resources
2017-01-10 23:14:18,053 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 23:14:18,061 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example\src\test\resources
2017-01-10 23:14:53,719 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-01-10 23:15:02,001 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Chaman Bharti\Downloads\log4j-example\log4j-example
2017-01-10 23:15:02,002 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
